acl 2.2.52-3
adwaita-icon-theme 3.24.0-1
alsa-lib 1.1.4.1-1
archey3 0.5-7
archlinux-keyring 20170320-1
asciidoc 8.6.9-3
at-spi2-atk 2.24.1-1
at-spi2-core 2.24.1-1
atk 2.24.0-2
attr 2.4.47-2
autoconf 2.69-4
automake 1.15-2
avahi 0.6.32-3
bash 4.4.012-2
binutils 2.28.0-3
bison 3.0.4-2
bluez-libs 5.45-1
bzip2 1.0.6-6
c-ares 1.12.0-1
ca-certificates 20170307-1
ca-certificates-cacert 20140824-4
ca-certificates-mozilla 3.30.2-1
ca-certificates-utils 20170307-1
cairo 1.14.8-1
compositeproto 0.4.2-3
confuse 3.2-1
coreutils 8.27-1
cracklib 2.9.6-1
cryptsetup 1.7.5-1
curl 7.54.0-3
damageproto 1.2.1-3
db 5.3.28-3
dbus 1.10.18-1
dbus-glib 0.108-1
dconf 0.26.0+1+g701d19d-1
desktop-file-utils 0.23-1
device-mapper 2.02.171-1
dhcpcd 6.11.5-1
diffutils 3.6-1
dmxproto 2.3.1-3
dnssec-anchors 20170228-1
docbook-xml 4.5-6
docbook-xsl 1.79.1-2
e2fsprogs 1.43.4-1
efibootmgr 15-1
efivar 31-1
expat 2.2.0-2
fakeroot 1.21-2
feh 2.19-1
ffmpeg 1:3.3.1-9
file 5.31-1
filesystem 2017.03-2
findutils 4.6.0-2
firefox 53.0.3-1
fixesproto 5.0+9+g4292ec1-1
flac 1.3.2-1
flex 2.6.4-1
fontconfig 2.12.3-1
fontsproto 2.1.3-1
freetype2 2.8-2
fribidi 0.19.7-1
gawk 4.1.4-2
gc 7.6.0-1
gcc 7.1.1-2
gcc-libs 7.1.1-2
gdbm 1.13-1
gdk-pixbuf2 2.36.6-2
gettext 0.19.8.1-2
giflib 5.1.4-1
git 2.13.1-1
glib-networking 2.50.0-2
glib2 2.52.2+1+gb8bd46bc8-1
glibc 2.25-2
gmp 6.1.2-1
gnupg 2.1.21-2
gnutls 3.5.13-1
gobject-introspection-runtime 1.52.1-1
gpgme 1.9.0-3
